file_id,folder_cat,filename,size_kb,folder_norm,csv_category,status
10554236,ACCOUNTANT,10554236.pdf,47.15,ACCOUNTANT,ACCOUNTANT,ok
10674770,ACCOUNTANT,10674770.pdf,24.57,ACCOUNTANT,ACCOUNTANT,ok
11163645,ACCOUNTANT,11163645.pdf,21.81,ACCOUNTANT,ACCOUNTANT,ok
11759079,ACCOUNTANT,11759079.pdf,22.23,ACCOUNTANT,ACCOUNTANT,ok
12065211,ACCOUNTANT,12065211.pdf,23.74,ACCOUNTANT,ACCOUNTANT,ok
12202337,ACCOUNTANT,12202337.pdf,22.25,ACCOUNTANT,ACCOUNTANT,ok
12338274,ACCOUNTANT,12338274.pdf,29.68,ACCOUNTANT,ACCOUNTANT,ok
12442909,ACCOUNTANT,12442909.pdf,43.99,ACCOUNTANT,ACCOUNTANT,ok
12780508,ACCOUNTANT,12780508.pdf,24.86,ACCOUNTANT,ACCOUNTANT,ok
12802330,ACCOUNTANT,12802330.pdf,23.15,ACCOUNTANT,ACCOUNTANT,ok
13072019,ACCOUNTANT,13072019.pdf,23.85,ACCOUNTANT,ACCOUNTANT,ok
13130984,ACCOUNTANT,13130984.pdf,18.98,ACCOUNTANT,ACCOUNTANT,ok
13294301,ACCOUNTANT,13294301.pdf,22.31,ACCOUNTANT,ACCOUNTANT,ok
13491889,ACCOUNTANT,13491889.pdf,23.68,ACCOUNTANT,ACCOUNTANT,ok
13701259,ACCOUNTANT,13701259.pdf,24.61,ACCOUNTANT,ACCOUNTANT,ok
14055988,ACCOUNTANT,14055988.pdf,20.18,ACCOUNTANT,ACCOUNTANT,ok
14126433,ACCOUNTANT,14126433.pdf,23.95,ACCOUNTANT,ACCOUNTANT,ok
14224370,ACCOUNTANT,14224370.pdf,19.0,ACCOUNTANT,ACCOUNTANT,ok
14449423,ACCOUNTANT,14449423.pdf,31.87,ACCOUNTANT,ACCOUNTANT,ok
14470533,ACCOUNTANT,14470533.pdf,19.77,ACCOUNTANT,ACCOUNTANT,ok
14491649,ACCOUNTANT,14491649.pdf,23.03,ACCOUNTANT,ACCOUNTANT,ok
14496667,ACCOUNTANT,14496667.pdf,20.76,ACCOUNTANT,ACCOUNTANT,ok
15289348,ACCOUNTANT,15289348.pdf,27.84,ACCOUNTANT,ACCOUNTANT,ok
15363277,ACCOUNTANT,15363277.pdf,21.47,ACCOUNTANT,ACCOUNTANT,ok
15592167,ACCOUNTANT,15592167.pdf,22.63,ACCOUNTANT,ACCOUNTANT,ok
15821633,ACCOUNTANT,15821633.pdf,23.99,ACCOUNTANT,ACCOUNTANT,ok
15906625,ACCOUNTANT,15906625.pdf,24.53,ACCOUNTANT,ACCOUNTANT,ok
16237710,ACCOUNTANT,16237710.pdf,22.61,ACCOUNTANT,ACCOUNTANT,ok
17306905,ACCOUNTANT,17306905.pdf,37.24,ACCOUNTANT,ACCOUNTANT,ok
17407184,ACCOUNTANT,17407184.pdf,21.03,ACCOUNTANT,ACCOUNTANT,ok
17556527,ACCOUNTANT,17556527.pdf,25.73,ACCOUNTANT,ACCOUNTANT,ok
18132924,ACCOUNTANT,18132924.pdf,42.56,ACCOUNTANT,ACCOUNTANT,ok
18365791,ACCOUNTANT,18365791.pdf,21.53,ACCOUNTANT,ACCOUNTANT,ok
18569929,ACCOUNTANT,18569929.pdf,22.25,ACCOUNTANT,ACCOUNTANT,ok
18635654,ACCOUNTANT,18635654.pdf,20.78,ACCOUNTANT,ACCOUNTANT,ok
18669563,ACCOUNTANT,18669563.pdf,20.57,ACCOUNTANT,ACCOUNTANT,ok
19446337,ACCOUNTANT,19446337.pdf,30.71,ACCOUNTANT,ACCOUNTANT,ok
19545827,ACCOUNTANT,19545827.pdf,23.72,ACCOUNTANT,ACCOUNTANT,ok
20082776,ACCOUNTANT,20082776.pdf,31.38,ACCOUNTANT,ACCOUNTANT,ok
20253563,ACCOUNTANT,20253563.pdf,19.32,ACCOUNTANT,ACCOUNTANT,ok
20345168,ACCOUNTANT,20345168.pdf,20.19,ACCOUNTANT,ACCOUNTANT,ok
20393721,ACCOUNTANT,20393721.pdf,20.75,ACCOUNTANT,ACCOUNTANT,ok
20624984,ACCOUNTANT,20624984.pdf,22.01,ACCOUNTANT,ACCOUNTANT,ok
21031285,ACCOUNTANT,21031285.pdf,21.95,ACCOUNTANT,ACCOUNTANT,ok
21338490,ACCOUNTANT,21338490.pdf,21.72,ACCOUNTANT,ACCOUNTANT,ok
21763056,ACCOUNTANT,21763056.pdf,22.46,ACCOUNTANT,ACCOUNTANT,ok
21794875,ACCOUNTANT,21794875.pdf,50.73,ACCOUNTANT,ACCOUNTANT,ok
21853199,ACCOUNTANT,21853199.pdf,22.96,ACCOUNTANT,ACCOUNTANT,ok
22465498,ACCOUNTANT,22465498.pdf,27.42,ACCOUNTANT,ACCOUNTANT,ok
22925443,ACCOUNTANT,22925443.pdf,30.28,ACCOUNTANT,ACCOUNTANT,ok
23139819,ACCOUNTANT,23139819.pdf,23.87,ACCOUNTANT,ACCOUNTANT,ok
23246831,ACCOUNTANT,23246831.pdf,31.31,ACCOUNTANT,ACCOUNTANT,ok
23387174,ACCOUNTANT,23387174.pdf,23.9,ACCOUNTANT,ACCOUNTANT,ok
