ID,Category,n_skills,skill_str
31111279,INFORMATION-TECHNOLOGY,21,"C++, C, Go, VBA, SQL, SQL Server, Unix, PMP, PMO, Accounting, EMR/EHR, Radiology, Leadership, Communication, CompTIA, organization education and certification, information technology certification, project management certification, project management advanced certificate, pmp certification, institute city state certification"
16248476,CHEF,3,"C++, Teamwork, highlights food cost servsafe certified"
22718826,CONSTRUCTION,9,"C++, Budget Management, Compliance, Leadership, Teamwork, Time Management, Negotiation, and site management through certification, to work independently osha certified"
17312146,AGRICULTURE,6,"C++, Spring, SAFe, Leadership, Attention to Detail, Presentation"
27531694,TEACHER,11,"C++, Resource Planning, Accounting, Auditing, SAP, First Aid, Communication, CompTIA, performance assessments cpr certification, instruction cpr first aid certified, certifications pde dual certification"
87867370,BANKING,15,"C++, Oracle DB, Compliance, CRM, Sales Strategy, Leadership, Problem Solving, Creativity, Negotiation, Presentation, Mentoring, CompTIA, cash flow conversation certified, growth business banking teller certification, advisory board board member certified"
23734441,ACCOUNTANT,7,"C++, Statistics, Forecasting, Accounting, Taxation, QuickBooks, Compliance"
63989974,AUTOMOBILE,10,"C++, R, Unix, Network Security, Firewall, Budget Management, Resource Planning, Teamwork, CompTIA, requirements documentation certified"
91533580,APPAREL,5,"C++, Accounting, Leadership, Communication, Mentoring"
17396388,BANKING,10,"C++, Forecasting, Risk Management, Sales Strategy, Leadership, Teamwork, Problem Solving, Time Management, Adaptability, Negotiation"
18036030,CHEF,5,"C++, Data Analysis, Leadership, Communication, Mentoring"
15546686,AGRICULTURE,4,"C++, Clinical Research, CompTIA, biomerieux training and certification"
18062906,SALES,4,"C++, SAFe, endorsement osha forklift certified, atssa flagger certified"
53265899,CHEF,8,"C++, C, SAFe, Risk Management, Nursing, Leadership, Attention to Detail, Presentation"
17108676,ENGINEERING,9,"C++, Statistics, 3D Modelling, Leadership, Communication, Problem Solving, Time Management, Mentoring, engineer in training eit certified"
