skill,ACCOUNTANT,ADVOCATE,AGRICULTURE,APPAREL,ARTS,AUTOMOBILE,AVIATION,BANKING,BPO,BUSINESS-DEVELOPMENT,CHEF,CONSTRUCTION,CONSULTANT,DESIGNER,DIGITAL-MEDIA,ENGINEERING,FINANCE,FITNESS,HEALTHCARE,HR,INFORMATION-TECHNOLOGY,PUBLIC-RELATIONS,SALES,TEACHER,total,domain
C++,83,83,44,68,72,25,81,81,15,83,83,78,80,75,67,83,82,82,80,77,84,78,81,71,1736,programming_languages
Communication,35,50,22,38,37,13,34,36,5,38,30,47,38,32,37,40,35,45,46,48,45,59,53,42,905,soft_skills
Leadership,20,38,20,22,30,8,30,41,8,52,35,33,30,26,27,34,41,35,35,38,37,44,31,32,747,soft_skills
CompTIA,17,32,19,16,21,9,37,34,7,42,10,26,38,18,29,24,14,18,32,28,69,31,25,12,608,certifications
Compliance,44,24,12,16,9,7,29,46,3,21,19,40,23,14,7,24,36,18,42,40,27,13,16,10,540,business_finance
Accounting,82,12,7,10,7,4,16,27,2,15,11,9,22,4,7,6,66,15,23,21,10,8,11,9,404,business_finance
Teamwork,19,23,11,18,18,6,11,18,3,21,22,22,11,19,11,15,14,14,22,18,21,19,30,16,402,soft_skills
Problem Solving,21,29,5,16,17,7,14,15,6,20,12,18,14,18,15,16,13,17,18,14,21,12,20,18,376,soft_skills
Presentation,9,20,13,13,12,1,12,21,1,36,13,8,22,23,19,8,17,10,18,15,11,31,12,14,359,soft_skills
C,9,9,6,7,11,3,19,14,3,22,4,12,22,12,11,36,12,7,9,4,25,10,4,3,274,programming_languages
Time Management,17,15,3,13,10,6,14,10,3,9,10,14,7,13,9,9,18,11,17,10,5,9,25,15,272,soft_skills
Mentoring,2,15,8,13,18,4,11,24,5,17,17,5,13,6,4,13,7,16,7,22,12,11,10,7,267,soft_skills
Sales Strategy,6,7,3,7,4,2,3,20,2,83,6,4,14,2,16,3,5,7,12,7,4,11,8,0,236,sales_marketing
Budget Management,26,4,7,6,2,3,7,7,0,17,14,25,6,4,8,6,32,7,10,5,16,11,2,4,229,project_management
SAFe,1,14,5,7,12,3,20,1,0,2,34,27,2,8,0,10,0,26,8,2,7,4,14,20,227,project_management
QA,8,8,5,7,5,5,22,9,3,5,6,15,19,13,9,19,5,6,17,5,16,2,6,3,218,testing
Social Media,1,3,4,6,12,1,2,5,2,11,4,2,6,6,34,0,3,10,8,5,2,51,10,5,193,sales_marketing
Negotiation,6,8,3,6,5,3,9,12,2,26,7,18,6,2,6,1,13,3,7,11,6,10,6,0,176,soft_skills
R,13,4,5,5,6,4,8,7,1,7,9,2,12,8,4,20,9,6,7,2,11,9,5,2,166,programming_languages
Forecasting,19,5,2,6,1,2,3,14,0,24,6,4,7,0,5,5,33,1,6,3,7,3,5,0,161,data_science_ml
Financial Reporting,59,1,2,1,1,1,1,14,1,4,1,3,8,0,1,3,37,2,3,2,4,4,2,1,156,business_finance
First Aid,2,12,5,4,5,2,14,2,1,3,2,14,3,2,0,4,0,34,11,4,1,3,6,19,153,healthcare
Photoshop,1,0,2,7,9,2,3,4,0,7,2,3,2,31,20,1,4,3,6,2,6,23,4,4,146,design_creative
CRM,3,7,1,2,3,2,2,9,3,28,1,3,5,3,19,2,6,3,10,1,11,8,12,1,145,sales_marketing
Attention to Detail,6,9,4,6,8,5,7,4,2,5,6,7,5,5,1,8,8,6,7,9,4,7,8,6,143,soft_skills
SAP,20,1,2,4,4,1,4,5,5,7,1,3,9,3,4,11,13,1,2,14,14,0,4,3,135,business_finance
SQL,3,3,2,1,0,3,2,12,2,4,0,2,25,5,6,10,3,1,4,1,37,2,4,0,132,databases
Oracle DB,11,4,2,2,1,3,3,10,3,6,1,1,12,4,2,9,14,3,2,7,23,4,2,0,129,databases
Cross-functional,2,4,1,8,2,0,5,8,2,13,3,6,4,6,16,9,6,2,6,3,9,7,2,1,125,soft_skills
Statistics,8,9,7,5,0,3,6,4,0,7,0,2,7,2,4,16,3,7,9,6,10,1,1,2,119,data_science_ml
Data Analysis,5,3,6,2,5,4,5,6,1,8,3,2,10,4,8,9,6,1,7,3,11,4,4,1,118,data_science_ml
Auditing,25,6,3,2,6,2,4,3,2,2,2,0,6,2,1,1,20,4,4,7,6,2,1,2,113,business_finance
Resource Planning,7,5,3,2,1,2,7,5,3,4,5,2,5,0,2,8,6,3,2,26,10,2,0,2,112,project_management
Critical Thinking,8,10,3,3,6,1,8,0,1,5,3,2,2,3,1,6,8,3,10,5,3,8,3,10,112,soft_skills
QuickBooks,39,2,0,4,1,1,3,2,0,4,3,5,5,0,1,2,16,3,6,6,3,1,2,3,112,business_finance
HTML,0,3,2,2,3,1,3,3,0,2,1,1,9,13,18,11,1,0,4,0,14,3,4,1,99,web_frontend
Nursing,1,12,3,2,4,1,4,3,0,3,3,2,7,2,0,0,0,7,27,4,1,6,4,3,99,healthcare
Risk Management,5,4,3,2,4,3,7,14,2,6,1,7,4,0,1,4,7,3,7,3,8,1,2,0,98,project_management
Go,3,5,2,3,0,1,2,1,0,5,5,6,10,4,8,8,3,3,4,5,5,2,7,2,94,programming_languages
Client Management,3,6,0,4,2,1,5,6,2,8,6,2,4,2,3,2,4,4,2,3,3,7,10,2,91,soft_skills
Illustrator,1,0,1,6,4,2,1,0,1,4,0,0,1,27,15,1,1,1,2,3,4,10,4,1,90,design_creative
Adaptability,3,8,1,9,5,0,6,4,1,3,7,0,2,4,1,4,6,3,4,2,3,2,6,4,88,soft_skills
Market Research,1,5,2,2,1,2,1,9,0,14,1,3,7,3,5,1,2,2,3,5,1,11,4,1,86,sales_marketing
3D Modelling,0,0,1,0,0,2,6,0,0,2,0,16,2,19,0,28,1,1,1,0,2,0,0,1,82,design_creative
ERP,10,2,1,2,0,0,5,1,1,4,0,0,8,3,2,8,10,0,0,3,17,1,2,0,80,business_finance
Financial Analysis,16,2,0,0,0,0,1,15,0,6,2,0,8,0,0,0,23,1,0,0,0,2,1,1,78,business_finance
Brand Design,0,1,0,2,3,1,0,2,1,10,1,1,2,9,9,0,1,1,2,4,2,20,2,0,74,design_creative
