resume_id,resume_category,rank,job_id,job_title,job_category,score
31111279,INFORMATION-TECHNOLOGY,1,50,Software Engineer,ENGINEERING,0.207
31111279,INFORMATION-TECHNOLOGY,2,58,Healthcare Administrator,HEALTHCARE,0.1543
31111279,INFORMATION-TECHNOLOGY,3,52,Financial Analyst,FINANCE,0.1455
31111279,INFORMATION-TECHNOLOGY,4,60,Registered Nurse,HEALTHCARE,0.1455
31111279,INFORMATION-TECHNOLOGY,5,74,BI Developer,INFORMATION-TECHNOLOGY,0.138
16248476,CHEF,1,50,Software Engineer,ENGINEERING,0.1826
16248476,CHEF,2,82,Corporate Trainer,TEACHER,0.0
16248476,CHEF,3,83,Academic Counsellor,TEACHER,0.0
16248476,CHEF,4,80,Inside Sales Representative,SALES,0.0
16248476,CHEF,5,79,Key Account Manager,SALES,0.0
22718826,CONSTRUCTION,1,5,Corporate Lawyer,ADVOCATE,0.2357
22718826,CONSTRUCTION,2,53,Finance Manager,FINANCE,0.2222
22718826,CONSTRUCTION,3,4,Legal Advocate,ADVOCATE,0.2222
22718826,CONSTRUCTION,4,8,Farm Manager,AGRICULTURE,0.126
22718826,CONSTRUCTION,5,31,Partnership Manager,BUSINESS-DEVELOPMENT,0.126
17312146,AGRICULTURE,1,61,Medical Coder,HEALTHCARE,0.1443
17312146,AGRICULTURE,2,65,Payroll Specialist,HR,0.1361
17312146,AGRICULTURE,3,82,Corporate Trainer,TEACHER,0.1361
17312146,AGRICULTURE,4,50,Software Engineer,ENGINEERING,0.1291
17312146,AGRICULTURE,5,80,Inside Sales Representative,SALES,0.0
27531694,TEACHER,1,57,Sports Coach,FITNESS,0.2132
27531694,TEACHER,2,55,Fitness Trainer,FITNESS,0.2132
27531694,TEACHER,3,54,FP&A Analyst,FINANCE,0.201
27531694,TEACHER,4,60,Registered Nurse,HEALTHCARE,0.201
27531694,TEACHER,5,53,Finance Manager,FINANCE,0.201
87867370,BANKING,1,18,Auto Sales Manager,AUTOMOBILE,0.2739
87867370,BANKING,2,30,Sales & BD Executive,BUSINESS-DEVELOPMENT,0.2582
87867370,BANKING,3,79,Key Account Manager,SALES,0.2582
87867370,BANKING,4,31,Partnership Manager,BUSINESS-DEVELOPMENT,0.1952
87867370,BANKING,5,56,Gym Manager,FITNESS,0.1826
23734441,ACCOUNTANT,1,53,Finance Manager,FINANCE,0.252
23734441,ACCOUNTANT,2,3,Audit Associate,ACCOUNTANT,0.252
23734441,ACCOUNTANT,3,1,Accountant,ACCOUNTANT,0.239
23734441,ACCOUNTANT,4,61,Medical Coder,HEALTHCARE,0.1336
23734441,ACCOUNTANT,5,58,Healthcare Administrator,HEALTHCARE,0.1336
63989974,AUTOMOBILE,1,8,Farm Manager,AGRICULTURE,0.239
63989974,AUTOMOBILE,2,70,Network Security Engineer,INFORMATION-TECHNOLOGY,0.2
63989974,AUTOMOBILE,3,77,Event Coordinator,PUBLIC-RELATIONS,0.1118
63989974,AUTOMOBILE,4,36,Construction Manager,CONSTRUCTION,0.1118
63989974,AUTOMOBILE,5,34,Food & Beverage Manager,CHEF,0.1118
91533580,APPAREL,1,83,Academic Counsellor,TEACHER,0.3162
91533580,APPAREL,2,81,School Teacher,TEACHER,0.3162
91533580,APPAREL,3,50,Software Engineer,ENGINEERING,0.2828
91533580,APPAREL,4,20,Flight Operations Officer,AVIATION,0.169
91533580,APPAREL,5,10,Fashion Merchandiser,APPAREL,0.169
17396388,BANKING,1,18,Auto Sales Manager,AUTOMOBILE,0.2236
17396388,BANKING,2,30,Sales & BD Executive,BUSINESS-DEVELOPMENT,0.2108
17396388,BANKING,3,79,Key Account Manager,SALES,0.2108
17396388,BANKING,4,50,Software Engineer,ENGINEERING,0.2
17396388,BANKING,5,17,Service Technician,AUTOMOBILE,0.1291
18036030,CHEF,1,83,Academic Counsellor,TEACHER,0.3162
18036030,CHEF,2,81,School Teacher,TEACHER,0.3162
18036030,CHEF,3,59,Clinical Research Analyst,HEALTHCARE,0.3162
18036030,CHEF,4,38,Management Consultant,CONSULTANT,0.3162
18036030,CHEF,5,28,Process Analyst,BPO,0.3162
15546686,AGRICULTURE,1,59,Clinical Research Analyst,HEALTHCARE,0.1768
15546686,AGRICULTURE,2,50,Software Engineer,ENGINEERING,0.1581
15546686,AGRICULTURE,3,83,Academic Counsellor,TEACHER,0.0
15546686,AGRICULTURE,4,80,Inside Sales Representative,SALES,0.0
15546686,AGRICULTURE,5,79,Key Account Manager,SALES,0.0
18062906,SALES,1,50,Software Engineer,ENGINEERING,0.1581
18062906,SALES,2,82,Corporate Trainer,TEACHER,0.0
18062906,SALES,3,83,Academic Counsellor,TEACHER,0.0
18062906,SALES,4,80,Inside Sales Representative,SALES,0.0
18062906,SALES,5,79,Key Account Manager,SALES,0.0
53265899,CHEF,1,20,Flight Operations Officer,AVIATION,0.1336
53265899,CHEF,2,61,Medical Coder,HEALTHCARE,0.125
53265899,CHEF,3,35,Civil Engineer,CONSTRUCTION,0.125
53265899,CHEF,4,36,Construction Manager,CONSTRUCTION,0.125
53265899,CHEF,5,82,Corporate Trainer,TEACHER,0.1179
17108676,ENGINEERING,1,50,Software Engineer,ENGINEERING,0.3162
17108676,ENGINEERING,2,81,School Teacher,TEACHER,0.2357
17108676,ENGINEERING,3,83,Academic Counsellor,TEACHER,0.2357
17108676,ENGINEERING,4,38,Management Consultant,CONSULTANT,0.2357
17108676,ENGINEERING,5,27,Customer Service Lead,BPO,0.2357
64468610,ENGINEERING,1,50,Software Engineer,ENGINEERING,0.286
64468610,ENGINEERING,2,71,Full Stack Developer,INFORMATION-TECHNOLOGY,0.1907
64468610,ENGINEERING,3,66,Software Developer,INFORMATION-TECHNOLOGY,0.1907
64468610,ENGINEERING,4,41,UI/UX Designer,DESIGNER,0.1907
64468610,ENGINEERING,5,10,Fashion Merchandiser,APPAREL,0.114
28733974,AGRICULTURE,1,50,Software Engineer,ENGINEERING,0.3
28733974,AGRICULTURE,2,31,Partnership Manager,BUSINESS-DEVELOPMENT,0.239
28733974,AGRICULTURE,3,77,Event Coordinator,PUBLIC-RELATIONS,0.2236
28733974,AGRICULTURE,4,56,Gym Manager,FITNESS,0.2236
28733974,AGRICULTURE,5,27,Customer Service Lead,BPO,0.2236
